state_name,county_name,city_name,level,date,link,type,type_name
District of Columbia,,,state,2020-04-01,https://mayor.dc.gov/sites/default/files/dc/sites/coronavirus/release_content/attachments/Mayor%27s%20Order%202020-054%20Stay%20at%20Home.pdf,2,Stay at Home
Florida,,,state,2020-03-01,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-51.pdf,1,Public Health Emergency
Florida,,,state,2020-04-03,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-91.pdf,2,Safer at Home
Georgia,,,state,2020-03-14,https://gov.georgia.gov/document/2020-executive-order/03142001/download,1,Public Health State of Emergency
Georgia,,,state,2020-04-03,https://gov.georgia.gov/document/2020-executive-order/04022001/download,2,Shelter in Place
Georgia,,,state,2020-04-24,https://gov.georgia.gov/document/2020-executive-order/04232002/download,5,Reviving a Health Georgia
Guam,,,state,2020-03-14,https://www.fmcsa.dot.gov/emergency/guam-state-emergency-declaration-order,1,State of Emergency
Guam,,,state,,,2,
Guam,,,state,,,3,
Hawaii,,,state,2020-03-04,https://governor.hawaii.gov/wp-content/uploads/2020/03/2003020-GOV-Emergency-Proclamation_COVID-19.pdf,1,Emergency Period Proclamation
Hawaii,,,state,2020-03-25,https://governor.hawaii.gov/wp-content/uploads/2020/03/2003162-ATG_Third-Supplementary-Proclamation-for-COVID-19-signed.pdf,2,Stay at Home
Hawaii,Honolulu,,county,2020-03-23,https://health.hawaii.gov/news/corona-virus/covid-19-daily-update-march-23-2020/,2,"Stay-at-Home, Work-at-Home"
Hawaii,Maui,,county,2020-03-25,https://health.hawaii.gov/news/corona-virus/covid-19-daily-update-march-23-2020/,2,"Stay-at-Home, Work-at-Home"
Idaho,,,state,2020-03-13,https://gov.idaho.gov/pressrelease/governor-signs-proactive-emergency-declaration-to-further-prevent-coronavirus-spread-in-idaho/,1,Emergency Delcaration
Idaho,,,state,2020-03-25,https://gov.idaho.gov/pressrelease/governor-little-issues-statewide-stay-home-order-signs-extreme-emergency-declaration/,2,Stay-Home
Idaho,Blaine,,county,2020-03-20,https://www.co.blaine.id.us/DocumentCenter/View/11087/Blaine-County-Self-Isolation-Order-3-20-2020-FINAL?bidId=,2,Self-Isolation
Illinois,,,state,2020-03-09,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,1,Disaster Proclamation
Illinois,,,state,2020-03-21,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,2,Stay at Home
Indiana,,,state,2020-03-06,https://www.in.gov/gov/files/20-02ExecutiveOrder(DeclarationofPublicHealthEmergencyforCOVID-19)FINAL.pdf,1,Public Health Emergency
Indiana,,,state,2020-03-24,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,2,Directive for Hoosiers to Stay at Home
